calendar_id,is_working_day,is_holiday,month,day,year,day_of_week
1,0,0,1,1,2011,6
2,0,0,1,2,2011,0
3,1,0,1,3,2011,1
4,1,0,1,4,2011,2
5,1,0,1,5,2011,3
6,1,0,1,6,2011,4
7,1,0,1,7,2011,5
8,0,0,1,8,2011,6
9,0,0,1,9,2011,0
10,1,0,1,10,2011,1
11,1,0,1,11,2011,2
12,1,0,1,12,2011,3
13,1,0,1,13,2011,4
14,1,0,1,14,2011,5
15,0,0,1,15,2011,6
16,0,0,1,16,2011,0
17,0,1,1,17,2011,1
18,1,0,1,18,2011,2
19,1,0,1,19,2011,3
20,1,0,1,20,2011,4
21,1,0,1,21,2011,5
22,0,0,1,22,2011,6
23,0,0,1,23,2011,0
24,1,0,1,24,2011,1
25,1,0,1,25,2011,2
26,1,0,1,26,2011,3
27,1,0,1,27,2011,4
28,1,0,1,28,2011,5
29,0,0,1,29,2011,6
30,0,0,1,30,2011,0
31,1,0,1,31,2011,1
32,1,0,2,1,2011,2
33,1,0,2,2,2011,3
34,1,0,2,3,2011,4
35,1,0,2,4,2011,5
36,0,0,2,5,2011,6
37,0,0,2,6,2011,0
38,1,0,2,7,2011,1
39,1,0,2,8,2011,2
40,1,0,2,9,2011,3
41,1,0,2,10,2011,4
42,1,0,2,11,2011,5
43,0,0,2,12,2011,6
44,0,0,2,13,2011,0
45,1,0,2,14,2011,1
46,1,0,2,15,2011,2
47,1,0,2,16,2011,3
48,1,0,2,17,2011,4
49,1,0,2,18,2011,5
50,0,0,2,19,2011,6
51,0,0,2,20,2011,0
52,0,1,2,21,2011,1
53,1,0,2,22,2011,2
54,1,0,2,23,2011,3
55,1,0,2,24,2011,4
56,1,0,2,25,2011,5
57,0,0,2,26,2011,6
58,0,0,2,27,2011,0
59,1,0,2,28,2011,1
60,1,0,3,1,2011,2
61,1,0,3,2,2011,3
62,1,0,3,3,2011,4
63,1,0,3,4,2011,5
64,0,0,3,5,2011,6
65,0,0,3,6,2011,0
66,1,0,3,7,2011,1
67,1,0,3,8,2011,2
68,1,0,3,9,2011,3
69,1,0,3,10,2011,4
70,1,0,3,11,2011,5
71,0,0,3,12,2011,6
72,0,0,3,13,2011,0
73,1,0,3,14,2011,1
74,1,0,3,15,2011,2
75,1,0,3,16,2011,3
76,1,0,3,17,2011,4
77,1,0,3,18,2011,5
78,0,0,3,19,2011,6
79,0,0,3,20,2011,0
80,1,0,3,21,2011,1
81,1,0,3,22,2011,2
82,1,0,3,23,2011,3
83,1,0,3,24,2011,4
84,1,0,3,25,2011,5
85,0,0,3,26,2011,6
86,0,0,3,27,2011,0
87,1,0,3,28,2011,1
88,1,0,3,29,2011,2
89,1,0,3,30,2011,3
90,1,0,3,31,2011,4
91,1,0,4,1,2011,5
92,0,0,4,2,2011,6
93,0,0,4,3,2011,0
94,1,0,4,4,2011,1
95,1,0,4,5,2011,2
96,1,0,4,6,2011,3
97,1,0,4,7,2011,4
98,1,0,4,8,2011,5
99,0,0,4,9,2011,6
100,0,0,4,10,2011,0
101,1,0,4,11,2011,1
102,1,0,4,12,2011,2
103,1,0,4,13,2011,3
104,1,0,4,14,2011,4
105,0,1,4,15,2011,5
106,0,0,4,16,2011,6
107,0,0,4,17,2011,0
108,1,0,4,18,2011,1
109,1,0,4,19,2011,2
110,1,0,4,20,2011,3
111,1,0,4,21,2011,4
112,1,0,4,22,2011,5
113,0,0,4,23,2011,6
114,0,0,4,24,2011,0
115,1,0,4,25,2011,1
116,1,0,4,26,2011,2
117,1,0,4,27,2011,3
118,1,0,4,28,2011,4
119,1,0,4,29,2011,5
120,0,0,4,30,2011,6
121,0,0,5,1,2011,0
122,1,0,5,2,2011,1
123,1,0,5,3,2011,2
124,1,0,5,4,2011,3
125,1,0,5,5,2011,4
126,1,0,5,6,2011,5
127,0,0,5,7,2011,6
128,0,0,5,8,2011,0
129,1,0,5,9,2011,1
130,1,0,5,10,2011,2
131,1,0,5,11,2011,3
132,1,0,5,12,2011,4
133,1,0,5,13,2011,5
134,0,0,5,14,2011,6
135,0,0,5,15,2011,0
136,1,0,5,16,2011,1
137,1,0,5,17,2011,2
138,1,0,5,18,2011,3
139,1,0,5,19,2011,4
140,1,0,5,20,2011,5
141,0,0,5,21,2011,6
142,0,0,5,22,2011,0
143,1,0,5,23,2011,1
144,1,0,5,24,2011,2
145,1,0,5,25,2011,3
146,1,0,5,26,2011,4
147,1,0,5,27,2011,5
148,0,0,5,28,2011,6
149,0,0,5,29,2011,0
150,0,1,5,30,2011,1
151,1,0,5,31,2011,2
152,1,0,6,1,2011,3
153,1,0,6,2,2011,4
154,1,0,6,3,2011,5
155,0,0,6,4,2011,6
156,0,0,6,5,2011,0
157,1,0,6,6,2011,1
158,1,0,6,7,2011,2
159,1,0,6,8,2011,3
160,1,0,6,9,2011,4
161,1,0,6,10,2011,5
162,0,0,6,11,2011,6
163,0,0,6,12,2011,0
164,1,0,6,13,2011,1
165,1,0,6,14,2011,2
166,1,0,6,15,2011,3
167,1,0,6,16,2011,4
168,1,0,6,17,2011,5
169,0,0,6,18,2011,6
170,0,0,6,19,2011,0
171,1,0,6,20,2011,1
172,1,0,6,21,2011,2
173,1,0,6,22,2011,3
174,1,0,6,23,2011,4
175,1,0,6,24,2011,5
176,0,0,6,25,2011,6
177,0,0,6,26,2011,0
178,1,0,6,27,2011,1
179,1,0,6,28,2011,2
180,1,0,6,29,2011,3
181,1,0,6,30,2011,4
182,1,0,7,1,2011,5
183,0,0,7,2,2011,6
184,0,0,7,3,2011,0
185,0,1,7,4,2011,1
186,1,0,7,5,2011,2
187,1,0,7,6,2011,3
188,1,0,7,7,2011,4
189,1,0,7,8,2011,5
190,0,0,7,9,2011,6
191,0,0,7,10,2011,0
192,1,0,7,11,2011,1
193,1,0,7,12,2011,2
194,1,0,7,13,2011,3
195,1,0,7,14,2011,4
196,1,0,7,15,2011,5
197,0,0,7,16,2011,6
198,0,0,7,17,2011,0
199,1,0,7,18,2011,1
200,1,0,7,19,2011,2
201,1,0,7,20,2011,3
202,1,0,7,21,2011,4
203,1,0,7,22,2011,5
204,0,0,7,23,2011,6
205,0,0,7,24,2011,0
206,1,0,7,25,2011,1
207,1,0,7,26,2011,2
208,1,0,7,27,2011,3
209,1,0,7,28,2011,4
210,1,0,7,29,2011,5
211,0,0,7,30,2011,6
212,0,0,7,31,2011,0
213,1,0,8,1,2011,1
214,1,0,8,2,2011,2
215,1,0,8,3,2011,3
216,1,0,8,4,2011,4
217,1,0,8,5,2011,5
218,0,0,8,6,2011,6
219,0,0,8,7,2011,0
220,1,0,8,8,2011,1
221,1,0,8,9,2011,2
222,1,0,8,10,2011,3
223,1,0,8,11,2011,4
224,1,0,8,12,2011,5
225,0,0,8,13,2011,6
226,0,0,8,14,2011,0
227,1,0,8,15,2011,1
228,1,0,8,16,2011,2
229,1,0,8,17,2011,3
230,1,0,8,18,2011,4
231,1,0,8,19,2011,5
232,0,0,8,20,2011,6
233,0,0,8,21,2011,0
234,1,0,8,22,2011,1
235,1,0,8,23,2011,2
236,1,0,8,24,2011,3
237,1,0,8,25,2011,4
238,1,0,8,26,2011,5
239,0,0,8,27,2011,6
240,0,0,8,28,2011,0
241,1,0,8,29,2011,1
242,1,0,8,30,2011,2
243,1,0,8,31,2011,3
244,1,0,9,1,2011,4
245,1,0,9,2,2011,5
246,0,0,9,3,2011,6
247,0,0,9,4,2011,0
248,0,1,9,5,2011,1
249,1,0,9,6,2011,2
250,1,0,9,7,2011,3
251,1,0,9,8,2011,4
252,1,0,9,9,2011,5
253,0,0,9,10,2011,6
254,0,0,9,11,2011,0
255,1,0,9,12,2011,1
256,1,0,9,13,2011,2
257,1,0,9,14,2011,3
258,1,0,9,15,2011,4
259,1,0,9,16,2011,5
260,0,0,9,17,2011,6
261,0,0,9,18,2011,0
262,1,0,9,19,2011,1
263,1,0,9,20,2011,2
264,1,0,9,21,2011,3
265,1,0,9,22,2011,4
266,1,0,9,23,2011,5
267,0,0,9,24,2011,6
268,0,0,9,25,2011,0
269,1,0,9,26,2011,1
270,1,0,9,27,2011,2
271,1,0,9,28,2011,3
272,1,0,9,29,2011,4
273,1,0,9,30,2011,5
274,0,0,10,1,2011,6
275,0,0,10,2,2011,0
276,1,0,10,3,2011,1
277,1,0,10,4,2011,2
278,1,0,10,5,2011,3
279,1,0,10,6,2011,4
280,1,0,10,7,2011,5
281,0,0,10,8,2011,6
282,0,0,10,9,2011,0
283,0,1,10,10,2011,1
284,1,0,10,11,2011,2
285,1,0,10,12,2011,3
286,1,0,10,13,2011,4
287,1,0,10,14,2011,5
288,0,0,10,15,2011,6
289,0,0,10,16,2011,0
290,1,0,10,17,2011,1
291,1,0,10,18,2011,2
292,1,0,10,19,2011,3
293,1,0,10,20,2011,4
294,1,0,10,21,2011,5
295,0,0,10,22,2011,6
296,0,0,10,23,2011,0
297,1,0,10,24,2011,1
298,1,0,10,25,2011,2
299,1,0,10,26,2011,3
300,1,0,10,27,2011,4
301,1,0,10,28,2011,5
302,0,0,10,29,2011,6
303,0,0,10,30,2011,0
304,1,0,10,31,2011,1
305,1,0,11,1,2011,2
306,1,0,11,2,2011,3
307,1,0,11,3,2011,4
308,1,0,11,4,2011,5
309,0,0,11,5,2011,6
310,0,0,11,6,2011,0
311,1,0,11,7,2011,1
312,1,0,11,8,2011,2
313,1,0,11,9,2011,3
314,1,0,11,10,2011,4
315,0,1,11,11,2011,5
316,0,0,11,12,2011,6
317,0,0,11,13,2011,0
318,1,0,11,14,2011,1
319,1,0,11,15,2011,2
320,1,0,11,16,2011,3
321,1,0,11,17,2011,4
322,1,0,11,18,2011,5
323,0,0,11,19,2011,6
324,0,0,11,20,2011,0
325,1,0,11,21,2011,1
326,1,0,11,22,2011,2
327,1,0,11,23,2011,3
328,0,1,11,24,2011,4
329,1,0,11,25,2011,5
330,0,0,11,26,2011,6
331,0,0,11,27,2011,0
332,1,0,11,28,2011,1
333,1,0,11,29,2011,2
334,1,0,11,30,2011,3
335,1,0,12,1,2011,4
336,1,0,12,2,2011,5
337,0,0,12,3,2011,6
338,0,0,12,4,2011,0
339,1,0,12,5,2011,1
340,1,0,12,6,2011,2
341,1,0,12,7,2011,3
342,1,0,12,8,2011,4
343,1,0,12,9,2011,5
344,0,0,12,10,2011,6
345,0,0,12,11,2011,0
346,1,0,12,12,2011,1
347,1,0,12,13,2011,2
348,1,0,12,14,2011,3
349,1,0,12,15,2011,4
350,1,0,12,16,2011,5
351,0,0,12,17,2011,6
352,0,0,12,18,2011,0
353,1,0,12,19,2011,1
354,1,0,12,20,2011,2
355,1,0,12,21,2011,3
356,1,0,12,22,2011,4
357,1,0,12,23,2011,5
358,0,0,12,24,2011,6
359,0,0,12,25,2011,0
360,0,1,12,26,2011,1
361,1,0,12,27,2011,2
362,1,0,12,28,2011,3
363,1,0,12,29,2011,4
364,1,0,12,30,2011,5
365,0,0,12,31,2011,6
366,0,0,1,1,2012,0
367,0,1,1,2,2012,1
368,1,0,1,3,2012,2
369,1,0,1,4,2012,3
370,1,0,1,5,2012,4
371,1,0,1,6,2012,5
372,0,0,1,7,2012,6
373,0,0,1,8,2012,0
374,1,0,1,9,2012,1
375,1,0,1,10,2012,2
376,1,0,1,11,2012,3
377,1,0,1,12,2012,4
378,1,0,1,13,2012,5
379,0,0,1,14,2012,6
380,0,0,1,15,2012,0
381,0,1,1,16,2012,1
382,1,0,1,17,2012,2
383,1,0,1,18,2012,3
384,1,0,1,19,2012,4
385,1,0,1,20,2012,5
386,0,0,1,21,2012,6
387,0,0,1,22,2012,0
388,1,0,1,23,2012,1
389,1,0,1,24,2012,2
390,1,0,1,25,2012,3
391,1,0,1,26,2012,4
392,1,0,1,27,2012,5
393,0,0,1,28,2012,6
394,0,0,1,29,2012,0
395,1,0,1,30,2012,1
396,1,0,1,31,2012,2
397,1,0,2,1,2012,3
398,1,0,2,2,2012,4
399,1,0,2,3,2012,5
400,0,0,2,4,2012,6
401,0,0,2,5,2012,0
402,1,0,2,6,2012,1
403,1,0,2,7,2012,2
404,1,0,2,8,2012,3
405,1,0,2,9,2012,4
406,1,0,2,10,2012,5
407,0,0,2,11,2012,6
408,0,0,2,12,2012,0
409,1,0,2,13,2012,1
410,1,0,2,14,2012,2
411,1,0,2,15,2012,3
412,1,0,2,16,2012,4
413,1,0,2,17,2012,5
414,0,0,2,18,2012,6
415,0,0,2,19,2012,0
416,0,1,2,20,2012,1
417,1,0,2,21,2012,2
418,1,0,2,22,2012,3
419,1,0,2,23,2012,4
420,1,0,2,24,2012,5
421,0,0,2,25,2012,6
422,0,0,2,26,2012,0
423,1,0,2,27,2012,1
424,1,0,2,28,2012,2
425,1,0,2,29,2012,3
426,1,0,3,1,2012,4
427,1,0,3,2,2012,5
428,0,0,3,3,2012,6
429,0,0,3,4,2012,0
430,1,0,3,5,2012,1
431,1,0,3,6,2012,2
432,1,0,3,7,2012,3
433,1,0,3,8,2012,4
434,1,0,3,9,2012,5
435,0,0,3,10,2012,6
436,0,0,3,11,2012,0
437,1,0,3,12,2012,1
438,1,0,3,13,2012,2
439,1,0,3,14,2012,3
440,1,0,3,15,2012,4
441,1,0,3,16,2012,5
442,0,0,3,17,2012,6
443,0,0,3,18,2012,0
444,1,0,3,19,2012,1
445,1,0,3,20,2012,2
446,1,0,3,21,2012,3
447,1,0,3,22,2012,4
448,1,0,3,23,2012,5
449,0,0,3,24,2012,6
450,0,0,3,25,2012,0
451,1,0,3,26,2012,1
452,1,0,3,27,2012,2
453,1,0,3,28,2012,3
454,1,0,3,29,2012,4
455,1,0,3,30,2012,5
456,0,0,3,31,2012,6
457,0,0,4,1,2012,0
458,1,0,4,2,2012,1
459,1,0,4,3,2012,2
460,1,0,4,4,2012,3
461,1,0,4,5,2012,4
462,1,0,4,6,2012,5
463,0,0,4,7,2012,6
464,0,0,4,8,2012,0
465,1,0,4,9,2012,1
466,1,0,4,10,2012,2
467,1,0,4,11,2012,3
468,1,0,4,12,2012,4
469,1,0,4,13,2012,5
470,0,0,4,14,2012,6
471,0,0,4,15,2012,0
472,0,1,4,16,2012,1
473,1,0,4,17,2012,2
474,1,0,4,18,2012,3
475,1,0,4,19,2012,4
476,1,0,4,20,2012,5
477,0,0,4,21,2012,6
478,0,0,4,22,2012,0
479,1,0,4,23,2012,1
480,1,0,4,24,2012,2
481,1,0,4,25,2012,3
482,1,0,4,26,2012,4
483,1,0,4,27,2012,5
484,0,0,4,28,2012,6
485,0,0,4,29,2012,0
486,1,0,4,30,2012,1
487,1,0,5,1,2012,2
488,1,0,5,2,2012,3
489,1,0,5,3,2012,4
490,1,0,5,4,2012,5
491,0,0,5,5,2012,6
492,0,0,5,6,2012,0
493,1,0,5,7,2012,1
494,1,0,5,8,2012,2
495,1,0,5,9,2012,3
496,1,0,5,10,2012,4
497,1,0,5,11,2012,5
498,0,0,5,12,2012,6
499,0,0,5,13,2012,0
500,1,0,5,14,2012,1
501,1,0,5,15,2012,2
502,1,0,5,16,2012,3
503,1,0,5,17,2012,4
504,1,0,5,18,2012,5
505,0,0,5,19,2012,6
506,0,0,5,20,2012,0
507,1,0,5,21,2012,1
508,1,0,5,22,2012,2
509,1,0,5,23,2012,3
510,1,0,5,24,2012,4
511,1,0,5,25,2012,5
512,0,0,5,26,2012,6
513,0,0,5,27,2012,0
514,0,1,5,28,2012,1
515,1,0,5,29,2012,2
516,1,0,5,30,2012,3
517,1,0,5,31,2012,4
518,1,0,6,1,2012,5
519,0,0,6,2,2012,6
520,0,0,6,3,2012,0
521,1,0,6,4,2012,1
522,1,0,6,5,2012,2
523,1,0,6,6,2012,3
524,1,0,6,7,2012,4
525,1,0,6,8,2012,5
526,0,0,6,9,2012,6
527,0,0,6,10,2012,0
528,1,0,6,11,2012,1
529,1,0,6,12,2012,2
530,1,0,6,13,2012,3
531,1,0,6,14,2012,4
532,1,0,6,15,2012,5
533,0,0,6,16,2012,6
534,0,0,6,17,2012,0
535,1,0,6,18,2012,1
536,1,0,6,19,2012,2
537,1,0,6,20,2012,3
538,1,0,6,21,2012,4
539,1,0,6,22,2012,5
540,0,0,6,23,2012,6
541,0,0,6,24,2012,0
542,1,0,6,25,2012,1
543,1,0,6,26,2012,2
544,1,0,6,27,2012,3
545,1,0,6,28,2012,4
546,1,0,6,29,2012,5
547,0,0,6,30,2012,6
548,0,0,7,1,2012,0
549,1,0,7,2,2012,1
550,1,0,7,3,2012,2
551,0,1,7,4,2012,3
552,1,0,7,5,2012,4
553,1,0,7,6,2012,5
554,0,0,7,7,2012,6
555,0,0,7,8,2012,0
556,1,0,7,9,2012,1
557,1,0,7,10,2012,2
558,1,0,7,11,2012,3
559,1,0,7,12,2012,4
560,1,0,7,13,2012,5
561,0,0,7,14,2012,6
562,0,0,7,15,2012,0
563,1,0,7,16,2012,1
564,1,0,7,17,2012,2
565,1,0,7,18,2012,3
566,1,0,7,19,2012,4
567,1,0,7,20,2012,5
568,0,0,7,21,2012,6
569,0,0,7,22,2012,0
570,1,0,7,23,2012,1
571,1,0,7,24,2012,2
572,1,0,7,25,2012,3
573,1,0,7,26,2012,4
574,1,0,7,27,2012,5
575,0,0,7,28,2012,6
576,0,0,7,29,2012,0
577,1,0,7,30,2012,1
578,1,0,7,31,2012,2
579,1,0,8,1,2012,3
580,1,0,8,2,2012,4
581,1,0,8,3,2012,5
582,0,0,8,4,2012,6
583,0,0,8,5,2012,0
584,1,0,8,6,2012,1
585,1,0,8,7,2012,2
586,1,0,8,8,2012,3
587,1,0,8,9,2012,4
588,1,0,8,10,2012,5
589,0,0,8,11,2012,6
590,0,0,8,12,2012,0
591,1,0,8,13,2012,1
592,1,0,8,14,2012,2
593,1,0,8,15,2012,3
594,1,0,8,16,2012,4
595,1,0,8,17,2012,5
596,0,0,8,18,2012,6
597,0,0,8,19,2012,0
598,1,0,8,20,2012,1
599,1,0,8,21,2012,2
600,1,0,8,22,2012,3
601,1,0,8,23,2012,4
602,1,0,8,24,2012,5
603,0,0,8,25,2012,6
604,0,0,8,26,2012,0
605,1,0,8,27,2012,1
606,1,0,8,28,2012,2
607,1,0,8,29,2012,3
608,1,0,8,30,2012,4
609,1,0,8,31,2012,5
610,0,0,9,1,2012,6
611,0,0,9,2,2012,0
612,0,1,9,3,2012,1
613,1,0,9,4,2012,2
614,1,0,9,5,2012,3
615,1,0,9,6,2012,4
616,1,0,9,7,2012,5
617,0,0,9,8,2012,6
618,0,0,9,9,2012,0
619,1,0,9,10,2012,1
620,1,0,9,11,2012,2
621,1,0,9,12,2012,3
622,1,0,9,13,2012,4
623,1,0,9,14,2012,5
624,0,0,9,15,2012,6
625,0,0,9,16,2012,0
626,1,0,9,17,2012,1
627,1,0,9,18,2012,2
628,1,0,9,19,2012,3
629,1,0,9,20,2012,4
630,1,0,9,21,2012,5
631,0,0,9,22,2012,6
632,0,0,9,23,2012,0
633,1,0,9,24,2012,1
634,1,0,9,25,2012,2
635,1,0,9,26,2012,3
636,1,0,9,27,2012,4
637,1,0,9,28,2012,5
638,0,0,9,29,2012,6
639,0,0,9,30,2012,0
640,1,0,10,1,2012,1
641,1,0,10,2,2012,2
642,1,0,10,3,2012,3
643,1,0,10,4,2012,4
644,1,0,10,5,2012,5
645,0,0,10,6,2012,6
646,0,0,10,7,2012,0
647,0,1,10,8,2012,1
648,1,0,10,9,2012,2
649,1,0,10,10,2012,3
650,1,0,10,11,2012,4
651,1,0,10,12,2012,5
652,0,0,10,13,2012,6
653,0,0,10,14,2012,0
654,1,0,10,15,2012,1
655,1,0,10,16,2012,2
656,1,0,10,17,2012,3
657,1,0,10,18,2012,4
658,1,0,10,19,2012,5
659,0,0,10,20,2012,6
660,0,0,10,21,2012,0
661,1,0,10,22,2012,1
662,1,0,10,23,2012,2
663,1,0,10,24,2012,3
664,1,0,10,25,2012,4
665,1,0,10,26,2012,5
666,0,0,10,27,2012,6
667,0,0,10,28,2012,0
668,1,0,10,29,2012,1
669,1,0,10,30,2012,2
670,1,0,10,31,2012,3
671,1,0,11,1,2012,4
672,1,0,11,2,2012,5
673,0,0,11,3,2012,6
674,0,0,11,4,2012,0
675,1,0,11,5,2012,1
676,1,0,11,6,2012,2
677,1,0,11,7,2012,3
678,1,0,11,8,2012,4
679,1,0,11,9,2012,5
680,0,0,11,10,2012,6
681,0,0,11,11,2012,0
682,0,1,11,12,2012,1
683,1,0,11,13,2012,2
684,1,0,11,14,2012,3
685,1,0,11,15,2012,4
686,1,0,11,16,2012,5
687,0,0,11,17,2012,6
688,0,0,11,18,2012,0
689,1,0,11,19,2012,1
690,1,0,11,20,2012,2
691,1,0,11,21,2012,3
692,0,1,11,22,2012,4
693,1,0,11,23,2012,5
694,0,0,11,24,2012,6
695,0,0,11,25,2012,0
696,1,0,11,26,2012,1
697,1,0,11,27,2012,2
698,1,0,11,28,2012,3
699,1,0,11,29,2012,4
700,1,0,11,30,2012,5
701,0,0,12,1,2012,6
702,0,0,12,2,2012,0
703,1,0,12,3,2012,1
704,1,0,12,4,2012,2
705,1,0,12,5,2012,3
706,1,0,12,6,2012,4
707,1,0,12,7,2012,5
708,0,0,12,8,2012,6
709,0,0,12,9,2012,0
710,1,0,12,10,2012,1
711,1,0,12,11,2012,2
712,1,0,12,12,2012,3
713,1,0,12,13,2012,4
714,1,0,12,14,2012,5
715,0,0,12,15,2012,6
716,0,0,12,16,2012,0
717,1,0,12,17,2012,1
718,1,0,12,18,2012,2
719,1,0,12,19,2012,3
720,1,0,12,20,2012,4
721,1,0,12,21,2012,5
722,0,0,12,22,2012,6
723,0,0,12,23,2012,0
724,1,0,12,24,2012,1
725,0,1,12,25,2012,2
726,1,0,12,26,2012,3
727,1,0,12,27,2012,4
728,1,0,12,28,2012,5
729,0,0,12,29,2012,6
730,0,0,12,30,2012,0
731,1,0,12,31,2012,1
