season_id,season_code
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
